
Train [0 / 12665]       loss: 1.396162986755371
Train [1280 / 12665]       loss: 0.7473767995834351
Train [2560 / 12665]       loss: 0.7203902006149292
Train [3840 / 12665]       loss: 0.7056190967559814
Train [5120 / 12665]       loss: 0.7445068359375
Train [6400 / 12665]       loss: 0.6999861598014832
Train [7680 / 12665]       loss: 0.7260168790817261
Train [8960 / 12665]       loss: 0.7151284217834473
Train [10240 / 12665]       loss: 0.7019092440605164
Train [11520 / 12665]       loss: 0.6962530612945557
Train [0 / 12089]       loss: 1.4951856136322021
Train [1280 / 12089]       loss: 0.9649540781974792
Train [2560 / 12089]       loss: 0.7874099016189575
Train [3840 / 12089]       loss: 0.7518875598907471
Train [5120 / 12089]       loss: 0.7678842544555664
Train [6400 / 12089]       loss: 0.7942823767662048
Train [7680 / 12089]       loss: 0.7508456110954285
Train [8960 / 12089]       loss: 0.8037958741188049
Train [10240 / 12089]       loss: 0.740856945514679
Train [11520 / 12089]       loss: 0.7642374634742737
Train [0 / 11263]       loss: 1.4422285556793213
Train [1280 / 11263]       loss: 0.8395434617996216
Train [2560 / 11263]       loss: 0.7897169589996338
Train [3840 / 11263]       loss: 0.7293264269828796
Train [5120 / 11263]       loss: 0.7310631275177002
Train [6400 / 11263]       loss: 0.7245841026306152
Train [7680 / 11263]       loss: 0.7118908166885376
Train [8960 / 11263]       loss: 0.6991909742355347
Train [10240 / 11263]       loss: 0.7075889706611633
Train [0 / 12183]       loss: 1.3068617582321167
Train [1280 / 12183]       loss: 0.7637476921081543
Train [2560 / 12183]       loss: 0.7401593327522278
Train [3840 / 12183]       loss: 0.7033526301383972
Train [5120 / 12183]       loss: 0.7064284086227417
Train [6400 / 12183]       loss: 0.7172129154205322
Train [7680 / 12183]       loss: 0.6979213356971741
Train [8960 / 12183]       loss: 0.6951662302017212
Train [10240 / 12183]       loss: 0.7132086157798767
Train [11520 / 12183]       loss: 0.6970041990280151
Train [0 / 11800]       loss: 1.542203664779663
Train [1280 / 11800]       loss: 0.9930121898651123
Train [2560 / 11800]       loss: 0.7850433588027954
Train [3840 / 11800]       loss: 0.7894272208213806
Train [5120 / 11800]       loss: 0.7293571829795837
Train [6400 / 11800]       loss: 1.0529652833938599
Train [7680 / 11800]       loss: 0.7682188153266907
Train [8960 / 11800]       loss: 0.742858350276947
Train [10240 / 11800]       loss: 0.7330631017684937
Train [11520 / 11800]       loss: 0.7607197165489197
