
Train [0 / 12665]       loss: 1.4189485311508179
Train [1280 / 12665]       loss: 0.7708259224891663
Train [2560 / 12665]       loss: 0.7207081913948059
Train [3840 / 12665]       loss: 0.7170543670654297
Train [5120 / 12665]       loss: 0.7180823683738708
Train [6400 / 12665]       loss: 0.758379340171814
Train [7680 / 12665]       loss: 0.6861191987991333
Train [8960 / 12665]       loss: 0.7024725079536438
Train [10240 / 12665]       loss: 0.7078021168708801
Train [11520 / 12665]       loss: 0.704230010509491
Train [0 / 12089]       loss: 1.3788163661956787
Train [1280 / 12089]       loss: 1.1103049516677856
Train [2560 / 12089]       loss: 1.1306214332580566
Train [3840 / 12089]       loss: 0.7792814373970032
Train [5120 / 12089]       loss: 0.725306510925293
Train [6400 / 12089]       loss: 0.7664077281951904
Train [7680 / 12089]       loss: 0.750342607498169
Train [8960 / 12089]       loss: 0.7515674829483032
Train [10240 / 12089]       loss: 0.7491601705551147
Train [11520 / 12089]       loss: 0.7310298681259155
Train [0 / 11263]       loss: 1.4633700847625732
Train [1280 / 11263]       loss: 0.825484573841095
Train [2560 / 11263]       loss: 0.7816294431686401
Train [3840 / 11263]       loss: 0.7189534902572632
Train [5120 / 11263]       loss: 0.7237158417701721
Train [6400 / 11263]       loss: 0.7129689455032349
Train [7680 / 11263]       loss: 0.7123372554779053
Train [8960 / 11263]       loss: 0.7333049178123474
Train [10240 / 11263]       loss: 0.7200098633766174
Train [0 / 12183]       loss: 1.5911024808883667
Train [1280 / 12183]       loss: 0.7530819177627563
Train [2560 / 12183]       loss: 0.7173589468002319
Train [3840 / 12183]       loss: 0.7037228941917419
Train [5120 / 12183]       loss: 0.701806902885437
Train [6400 / 12183]       loss: 0.6949788928031921
Train [7680 / 12183]       loss: 0.6969289779663086
Train [8960 / 12183]       loss: 0.6909446716308594
Train [10240 / 12183]       loss: 0.6935368776321411
Train [11520 / 12183]       loss: 0.6998192667961121
Train [0 / 11800]       loss: 1.647904396057129
Train [1280 / 11800]       loss: 0.8787031173706055
Train [2560 / 11800]       loss: 0.7871437072753906
Train [3840 / 11800]       loss: 0.7616895437240601
Train [5120 / 11800]       loss: 0.7239963412284851
Train [6400 / 11800]       loss: 0.776151716709137
Train [7680 / 11800]       loss: 0.7308343052864075
Train [8960 / 11800]       loss: 0.7215472459793091
Train [10240 / 11800]       loss: 0.7078150510787964
