
Train [0 / 12665]       loss: 1.3785477876663208
c:\Users\QbaSo\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\nn\_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
Train [1280 / 12665]       loss: 0.7225322723388672
Train [2560 / 12665]       loss: 0.7428218722343445
Train [3840 / 12665]       loss: 0.7277323603630066
Train [5120 / 12665]       loss: 0.6995911002159119
Train [6400 / 12665]       loss: 0.7082152366638184
Train [7680 / 12665]       loss: 0.6923092603683472
Train [8960 / 12665]       loss: 0.7043383121490479
Train [10240 / 12665]       loss: 0.6830175518989563
Train [11520 / 12665]       loss: 0.7020138502120972
Train [0 / 12089]       loss: 1.4408049583435059
Train [1280 / 12089]       loss: 1.093109369277954
Train [2560 / 12089]       loss: 0.8525727987289429
Train [3840 / 12089]       loss: 0.8195575475692749
Train [5120 / 12089]       loss: 0.7669524550437927
Train [6400 / 12089]       loss: 0.7694673538208008
Train [7680 / 12089]       loss: 0.745749294757843
Train [8960 / 12089]       loss: 0.7391350269317627
Train [10240 / 12089]       loss: 0.7100504636764526
Train [11520 / 12089]       loss: 0.7147799134254456
Train [0 / 11263]       loss: 1.6289644241333008
Train [1280 / 11263]       loss: 1.0459439754486084
Train [2560 / 11263]       loss: 0.7442649602890015
Train [3840 / 11263]       loss: 0.7399292588233948
Train [5120 / 11263]       loss: 0.7243737578392029
Train [6400 / 11263]       loss: 0.7245111465454102
Train [7680 / 11263]       loss: 0.7208214402198792
Train [8960 / 11263]       loss: 0.7129349112510681
Train [10240 / 11263]       loss: 0.7133751511573792
Train [0 / 12183]       loss: 2.071998357772827
Train [1280 / 12183]       loss: 0.7534849643707275
Train [2560 / 12183]       loss: 0.7117148041725159
Train [3840 / 12183]       loss: 0.7097076177597046
Train [5120 / 12183]       loss: 0.7022449374198914
Train [6400 / 12183]       loss: 0.7061766982078552
Train [7680 / 12183]       loss: 0.6961289048194885
Train [8960 / 12183]       loss: 0.7182703614234924
Train [10240 / 12183]       loss: 0.7033340334892273
Train [11520 / 12183]       loss: 0.7047588229179382
Train [0 / 11800]       loss: 1.3296570777893066
Train [1280 / 11800]       loss: 0.9653744697570801
Train [2560 / 11800]       loss: 0.7757146954536438
Train [3840 / 11800]       loss: 0.7786335945129395
Train [5120 / 11800]       loss: 0.7597588896751404
Train [6400 / 11800]       loss: 0.7446969151496887
Train [7680 / 11800]       loss: 0.730311393737793
Train [8960 / 11800]       loss: 0.7253643870353699
Train [10240 / 11800]       loss: 0.7183396220207214
Train [11520 / 11800]       loss: 0.7298824787139893
c:\Users\QbaSo\AppData\Local\Programs\Python\Python39\lib\site-packages\torchvision\datasets\mnist.py:65: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
